,Year_Birth,Income,Kidhome,Teenhome,YearJoining,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
0,0.3035714285714306,0.5168672362229638,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0
1,0.25,0.39648467403619436,0.5,0.5,1.0,0,0,1,0,0,0,0,1,0,0
2,0.4464285714285765,0.6544079370425941,0.0,0.0,0.5,0,0,1,0,0,0,0,0,1,0
3,0.7857142857142847,0.1954251768380439,0.5,0.0,1.0,0,0,1,0,0,0,0,0,1,0
4,0.7321428571428612,0.5184493370487184,0.5,0.0,1.0,0,0,0,0,1,0,1,0,0,0
5,0.4821428571428612,0.5615233079176492,0.0,0.5,0.5,0,0,0,1,0,0,0,0,1,0
6,0.5535714285714306,0.4913188596625531,0.0,0.5,0.0,0,0,1,0,0,1,0,0,0,0
7,0.8035714285714306,0.26491512794602484,0.5,0.0,0.5,0,0,0,0,1,0,1,0,0,0
8,0.6071428571428612,0.23324249012462872,0.5,0.0,0.5,0,0,0,0,1,0,0,0,1,0
9,0.7678571428571459,0.25397719733390495,0.5,0.0,0.5,0,0,1,0,0,0,1,0,0,0
10,0.6428571428571459,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0
11,0.3392857142857153,0.5668310010105031,0.0,0.0,0.5,0,0,1,0,0,1,0,0,0,0
12,0.2142857142857153,0.529279072378561,0.5,0.5,0.5,0,0,0,1,0,1,0,0,0,0
13,0.8392857142857153,0.10026436394443253,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0
14,0.1071428571428612,0.7685947882536668,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0
15,0.7142857142857153,0.35061395719141375,0.5,0.5,0.0,0,0,1,0,0,0,1,0,0,0
16,0.1071428571428612,0.3088669095956967,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
17,0.1607142857142847,0.7093425605536332,0.0,0.5,0.5,0,0,0,1,0,0,1,0,0,0
18,0.8035714285714306,0.2685692704984128,0.5,0.0,0.0,1,0,0,0,0,0,0,1,0,0
19,0.75,0.30151779608251417,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0
20,0.1607142857142847,0.5216543671086342,0.0,0.5,0.0,0,0,0,0,1,0,1,0,0,0
21,0.25,0.5902154719253656,0.0,0.5,1.0,0,0,0,0,1,0,1,0,0,0
22,0.1964285714285765,0.338763511651407,0.0,0.5,0.5,0,0,1,0,0,0,0,0,1,0
23,0.5178571428571459,0.1131865552051117,0.0,0.0,0.5,0,0,1,0,0,0,0,1,0,0
24,0.6428571428571459,0.4680874952792153,0.5,0.5,0.5,0,0,1,0,0,0,1,0,0,0
25,0.875,0.31499117085668205,0.5,0.0,0.5,0,0,1,0,0,0,1,0,0,0
26,0.4464285714285765,0.7871512998744525,0.0,0.0,0.5,0,0,0,0,1,0,1,0,0,0
27,0.875,0.03551050821161364,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0
28,0.4107142857142847,0.3176450174031091,0.0,0.0,0.5,0,0,0,1,0,0,0,0,1,0
29,0.5357142857142847,0.3373243102550755,0.0,0.5,0.0,0,0,1,0,0,0,0,0,1,0
30,0.2142857142857153,0.3991997631952312,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,0
31,0.1071428571428612,0.6242357432301395,0.0,0.0,0.5,0,0,0,1,0,0,1,0,0,0
32,0.1964285714285765,0.4275652999356952,0.5,0.5,0.5,0,0,0,1,0,0,0,1,0,0
33,0.5357142857142847,0.6109256820895979,0.0,0.5,0.5,0,0,0,0,1,0,1,0,0,0
34,0.6428571428571459,0.1655387818844352,0.5,0.0,0.5,1,0,0,0,0,0,1,0,0,0
35,0.5892857142857153,0.3565238693082647,0.0,0.5,1.0,0,0,1,0,0,0,0,0,0,1
36,0.0535714285714306,0.42306396790887096,0.0,0.0,0.5,0,0,0,0,1,1,0,0,0,0
37,0.7142857142857153,0.7401271804921865,0.0,0.5,0.5,0,0,1,0,0,0,1,0,0,0
38,0.8035714285714306,0.1332945463453471,0.5,0.0,0.5,0,0,0,1,0,0,1,0,0,0
39,0.3035714285714306,0.14794173786120382,0.0,0.5,0.0,0,0,1,0,0,0,0,0,1,0
40,0.3392857142857153,0.3576241949148217,0.0,0.0,0.5,0,0,0,0,1,0,0,1,0,0
41,0.625,0.0,0.5,0.0,0.5,0,0,0,1,0,0,1,0,0,0
42,0.6428571428571459,0.7394126833450714,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0
